method,strategy,semantic_information_level,model,combined_accuracy,semantic_accuracy,nonsemantic_accuracy,combined_correct,combined_samples,time
Rule-Null,Rule,Null,Claude,47.54,59.65,29.2,135,284,3730.7
Rule-String,Rule,String,Claude,49.65,70.18,18.58,141,284,5837.7
Hybrid-Null,Hybrid,Null,Claude,98.24,97.08,100,279,284,2359.6
Hybrid-String,Hybrid,String,Claude,98.59,97.66,100,280,284,2550.4
Hybrid-Code,Hybrid,Code,Claude,98.59,97.66,100,280,284,2557.3
Rule-Null,Rule,Null,DeepSeek,35.21,52.05,9.73,100,284,8432.7
Rule-String,Rule,String,DeepSeek,38.03,56.14,10.62,108,284,8741
Hybrid-Null,Hybrid,Null,DeepSeek,98.24,97.08,100,279,284,2391.9
Hybrid-String,Hybrid,String,DeepSeek,97.18,95.32,100,276,284,2515.7
Hybrid-Code,Hybrid,Code,DeepSeek,97.54,95.91,100,277,284,2546.2
Default,Default,Default,Default,95.77,92.98,100,272,284,972.3
Rule-Null,Rule,Null,Gemini,55.99,77.19,23.89,159,284,4752.5
Rule-String,Rule,String,Gemini,54.93,78.95,18.58,156,284,6069.5
Hybrid-Null,Hybrid,Null,Gemini,98.59,97.66,100,280,284,11820.8
Hybrid-String,Hybrid,String,Gemini,98.24,97.08,100,279,284,4077.4
Hybrid-Code,Hybrid,Code,Gemini,98.59,97.66,100,280,284,2941.5
Rule-Null,Rule,Null,MiniMax,41.55,61.99,10.62,118,284,9077.6
Rule-Null-Split,Rule,Null-Split,MiniMax,63.03,72.51,48.67,179,284,9273.6
Rule-String,Rule,String,MiniMax,39.79,60.23,8.85,113,284,11495.3
Rule-String-Split,Rule,String-Split,MiniMax,62.32,75.44,42.48,177,284,10089.7
Hybrid-Null,Hybrid,Null,MiniMax,97.18,95.32,100,276,284,4802.7
Hybrid-String,Hybrid,String,MiniMax,97.54,95.91,100,277,284,4433
Hybrid-Code,Hybrid,Code,MiniMax,97.54,95.91,100,277,284,4584.9
Rule-Null,Rule,Null,Qwen,41.55,59.06,15.04,118,284,3578.4
Rule-String,Rule,String,Qwen,41.55,59.06,15.04,118,284,3438.5
Hybrid-Null,Hybrid,Null,Qwen,96.83,94.74,100,275,284,1915.8
Hybrid-String,Hybrid,String,Qwen,97.89,96.49,100,278,284,1819.4
Hybrid-Code,Hybrid,Code,Qwen,97.54,95.91,100,277,284,1978.1
