sample_path,group,total_params,changed_params,change_ops,feature_combo,matched_feature_combo,correct_trials,total_trials,accuracy
PIL/PIL.Image.Image.show@8.4.0-9.0.0/PIL.Image.Image.show#1YY/image.show__@8.4.0-9.0.0_L3_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,25,25,1.0000000000
PIL/PIL.ImagePalette.ImagePalette@9.5.0-10.0.0/PIL.ImagePalette.ImagePalette#1YY/ImagePalette.ImagePalette__@9.5.0-10.0.0_L2_tempLst1.json,semantic,3,1,1,"(3,1,1)",no,25,25,1.0000000000
aiohttp/aiohttp.BaseConnector@0.8.1-0.8.2/aiohttp.BaseConnector#1YY/aiohttp.BaseConnector__@0.8.1-0.8.2_L2_tempLst1.json,semantic,5,2,2,"(5,2,2)",yes,17,25,0.6800000000
aiohttp/aiohttp.ClientSession@1.3.5-2.0.0/aiohttp.ClientSession#1YY/aiohttp.ClientSession__@1.3.5-2.0.0_L18_tempLst1.json,semantic,17,5,5,"(17,5,5)",no,18,25,0.7200000000
aiohttp/aiohttp.TCPConnector@2.3.10-3.0.0/aiohttp.TCPConnector#1YY/aiohttp.TCPConnector__@2.3.10-3.0.0_L9_tempLst1.json,semantic,16,2,2,"(16,2,2)",no,19,25,0.7600000000
click/click.Command@7.0-7.1/click.Command#1YY/click.Command__my_command__@7.0-7.1_L2_tempLst1.json,nonsemantic,11,2,3,"(11,2,3)",yes,15,25,0.6000000000
click/click.secho@6.7-7.0/click.secho#1YY/click.secho__Hello__Click___@6.7-7.0_L2_tempLst1.json,semantic,5,1,1,"(5,1,1)",no,23,25,0.9200000000
dask/dask.dataframe.core.drop@2.2.0-2.3.0/dask.dataframe.core.drop#1YY/ddf.drop__B___1_@2.2.0-2.3.0_L5_tempLst1.json,nonsemantic,3,1,2,"(3,1,2)",no,16,25,0.6400000000
dask/dask.dataframe.drop_duplicates@2.4.0-2.5.0/dask.dataframe.drop_duplicates#1YY/ddf.drop_duplicates__@2.4.0-2.5.0_L5_tempLst1.json,nonsemantic,2,2,3,"(2,2,3)",no,15,25,0.6000000000
dask/dask.dataframe.read_parquet@2022.4.1-2022.4.2/dask.dataframe.read_parquet#1YY/dd.read_parquet__._example.parquet__@2022.4.1-2022.4.2_L2_tempLst1.json,semantic,14,2,2,"(14,2,2)",no,17,25,0.6800000000
dask/dask.dataframe.repartition@1.2.2-2.0.0/dask.dataframe.repartition#1YY/ddf.repartition_None__10_@1.2.2-2.0.0_L5_tempLst1.json,nonsemantic,4,2,3,"(4,2,3)",no,16,25,0.6400000000
dask/dask.dataframe.utils.assert_eq@2022.5.2-2022.6.0/dask.dataframe.utils.assert_eq#1YY/assert_eq_ddf_result__pdf_result_@2022.5.2-2022.6.0_L8_tempLst1.json,nonsemantic,7,1,2,"(7,1,2)",no,15,25,0.6000000000
django/django.views.static.was_modified_since@4.0.10-4.1.0/django.views.static.was_modified_since#1YY/was_modified_since__@4.0.10-4.1.0_L2_tempLst1.json,semantic,3,1,1,"(3,1,1)",no,25,25,1.0000000000
django/models.Index@1.11.29-2.0/models.Index#1NN/models.Index___question_text____pub_date___@1.11.29-2.0_L2_tempLst1.json,nonsemantic,3,3,3,"(3,3,3)",no,19,25,0.7600000000
fastapi/fastapi.encoders.jsonable_encoder@0.60.2-0.61.0/fastapi.encoders.jsonable_encoder#1YY/jsonable_encoder_item_@0.60.2-0.61.0_L14_tempLst1.json,semantic,10,7,7,"(10,7,7)",no,21,25,0.8400000000
flask/flask.json.load@2.2.5-2.3.0/flask.json.load#1YY/flask.json.load_text_file_@2.2.5-2.3.0_L4_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,25,25,1.0000000000
flask/from_file@2.2.5-2.3.0/from_file#1YY/app.config.from_file__._test.json___json.load_@2.2.5-2.3.0_L4_tempLst1.json,nonsemantic,4,2,2,"(4,2,2)",no,15,25,0.6000000000
gensim/gensim.models.base_any2vec.BaseWordEmbeddingsModel@3.4.0-3.5.0/gensim.models.base_any2vec.BaseWordEmbeddingsModel#1YY/BaseWordEmbeddingsModel__@3.4.0-3.5.0_L2_tempLst1.json,nonsemantic,17,4,5,"(17,4,5)",no,15,25,0.6000000000
gensim/gensim.models.coherencemodel.CoherenceModel@0.13.1-0.13.2/gensim.models.coherencemodel.CoherenceModel#1NN/CoherenceModel_lda_model__documents_@0.13.1-0.13.2_L8_tempLst1.json,nonsemantic,7,6,7,"(7,6,7)",no,16,25,0.6400000000
gensim/gensim.models.doc2vec.Doc2Vec.infer_vector@4.0.1-4.1.0/gensim.models.doc2vec.Doc2Vec.infer_vector#1YY/model.infer_vector_doc_words_@4.0.1-4.1.0_L6_tempLst1.json,semantic,5,1,1,"(5,1,1)",no,25,25,1.0000000000
gensim/gensim.models.doc2vec.Doc2Vec.similarity_unseen_docs@4.0.1-4.1.0/gensim.models.doc2vec.Doc2Vec.similarity_unseen_docs#1YY/model.similarity_unseen_docs_doc_words1__doc_words2_@4.0.1-4.1.0_L7_tempLst1.json,semantic,5,1,1,"(5,1,1)",no,19,25,0.7600000000
gensim/gensim.models.doc2vec.Doc2Vec@3.5.0-3.6.0/gensim.models.doc2vec.Doc2Vec#1YY/Doc2Vec__@3.5.0-3.6.0_L3_tempLst1.json,nonsemantic,11,10,11,"(11,10,11)",no,15,25,0.6000000000
gensim/gensim.models.fasttext.FastText@3.8.3-4.0.0/gensim.models.fasttext.FastText#1YY/FastText__@3.8.3-4.0.0_L2_tempLst1.json,semantic,28,3,4,"(28,3,4)",no,16,25,0.6400000000
gensim/gensim.models.hdpmodel.HdpModel.print_topics@0.13.1-0.13.2/gensim.models.hdpmodel.HdpModel.print_topics#1YY/hdp.print_topics__@0.13.1-0.13.2_L7_tempLst1.json,semantic,2,2,2,"(2,2,2)",no,24,25,0.9600000000
gensim/gensim.models.hdpmodel.HdpModel.show_topics@0.13.1-0.13.2/gensim.models.hdpmodel.HdpModel.show_topics#1YY/hdp.show_topics__@0.13.1-0.13.2_L7_tempLst1.json,semantic,4,2,2,"(4,2,2)",no,25,25,1.0000000000
gensim/gensim.models.ldamodel.LdaModel.diff@2.3.0-3.0.0/gensim.models.ldamodel.LdaModel.diff#1YY/lda1.diff_lda2_@2.3.0-3.0.0_L9_tempLst1.json,nonsemantic,6,2,3,"(6,2,3)",yes,16,25,0.6400000000
gensim/gensim.models.word2vec.Word2Vec.intersect_word2vec_format@0.13.1-0.13.2/gensim.models.word2vec.Word2Vec.intersect_word2vec_format#1YY/model.intersect_word2vec_format_fname_@0.13.1-0.13.2_L7_tempLst1.json,nonsemantic,4,3,4,"(4,3,4)",no,15,25,0.6000000000
gensim/gensim.models.word2vec.Word2Vec.load_word2vec_format@0.12.3-0.12.4/gensim.models.word2vec.Word2Vec.load_word2vec_format#1YY/Word2Vec.load_word2vec_format_fname_@0.12.3-0.12.4_L3_tempLst1.json,semantic,6,3,3,"(6,3,3)",no,24,25,0.9600000000
gensim/gensim.models.word2vec.Word2Vec.train@1.0.1-2.0.0/gensim.models.word2vec.Word2Vec.train#1NN/model.train_sentences_@1.0.1-2.0.0_L5_tempLst1.json,nonsemantic,6,5,8,"(6,5,8)",no,15,25,0.6000000000
httpx/Response@0.17.1-0.18.0/Response#1YY/Response_1_@0.17.1-0.18.0_L2_tempLst1.json,semantic,11,3,3,"(11,3,3)",no,21,25,0.8400000000
httpx/URL@0.13.3-0.14.0/URL#1YY/httpx.URL_url_str_@0.13.3-0.14.0_L4_tempLst1.json,semantic,3,2,2,"(3,2,2)",no,16,25,0.6400000000
httpx/client.send@0.19.0-0.20.0/client.send#1YY/client.send_request_@0.19.0-0.20.0_L6_tempLst1.json,semantic,5,2,2,"(5,2,2)",yes,22,25,0.8800000000
httpx/httpx.AsyncClient@0.11.1-0.12.0/httpx.AsyncClient#1YY/httpx.AsyncClient__@0.11.1-0.12.0_L3_tempLst1.json,semantic,17,3,3,"(17,3,3)",no,18,25,0.7200000000
httpx/httpx.Proxy@0.18.2-0.19.0/httpx.Proxy#1YY/httpx.Proxy_proxy_url_@0.18.2-0.19.0_L4_tempLst1.json,semantic,3,1,1,"(3,1,1)",no,25,25,1.0000000000
httpx/httpx.delete@0.7.4-0.7.5/httpx.delete#1YY/delete__https___example.com_resource__@0.7.4-0.7.5_L2_tempLst1.json,semantic,15,4,4,"(15,4,4)",no,18,25,0.7200000000
jax/jax.experimental.jax2tf.convert@0.4.12-0.4.13/jax.experimental.jax2tf.convert#1YY/jax2tf.convert_sum_of_squares_@0.4.12-0.4.13_L7_tempLst1.json,semantic,9,3,3,"(9,3,3)",no,6,25,0.2400000000
keras/Conv2DTranspose@2.2.2-2.2.3/Conv2DTranspose#1YY/Conv2DTranspose_64___3__3__@2.2.2-2.2.3_L4_tempLst1.json,nonsemantic,15,9,10,"(15,9,10)",no,16,25,0.6400000000
keras/DepthwiseConv2D@2.2.4-2.2.5/DepthwiseConv2D#1YY/DepthwiseConv2D__3__3__@2.2.4-2.2.5_L4_tempLst1.json,nonsemantic,14,9,10,"(14,9,10)",no,15,25,0.6000000000
keras/ReduceLROnPlateau@2.1.5-2.1.6/ReduceLROnPlateau#1YY/ReduceLROnPlateau__@2.1.5-2.1.6_L9_tempLst1.json,semantic,8,1,1,"(8,1,1)",no,21,25,0.8400000000
keras/keras.preprocessing.image.ImageDataGenerator@2.1.4-2.1.5/keras.preprocessing.image.ImageDataGenerator#1YY/ImageDataGenerator__@2.1.4-2.1.5_L2_tempLst1.json,nonsemantic,20,11,12,"(20,11,12)",no,16,25,0.6400000000
loguru/loguru.logger.configure@0.3.2-0.4.0/loguru.logger.configure#1YY/logger.configure__@0.3.2-0.4.0_L2_tempLst1.json,semantic,5,1,1,"(5,1,1)",no,23,25,0.9200000000
matplotlib/matplotlib.axes.Axes.imshow@3.4.3-3.5.0/matplotlib.axes.Axes.imshow#1YY/plt.imshow_X_@3.4.3-3.5.0_L4_tempLst1.json,nonsemantic,16,8,8,"(16,8,8)",no,22,25,0.8800000000
